nested_records/find_number_customers_same_country
Problem:
return customers in same country


Query Sql String:
     SELECT
       cu.first_name,
       cu.last_name,
       (
         SELECT count(*)
         FROM customer as cu2
           JOIN address
             USING (address_id)
           JOIN city as ci2
             USING (city_id)
         WHERE ci2.country_id = ci.country_id
       ) as customers_from_same_country
     FROM customer as cu
       JOIN address
         USING (address_id)
       JOIN city as ci
         USING (city_id)

The formatted plan as returned by the database:
 +----+------------------+-------+----------+------+-------------------------+-----------------+-------+-------------------------+----+--------+-----------+
|  id|select_type       |table  |partitions|type  |possible_keys            |key              |key_len|ref                      |rows|filtered|Extra      |
+----+------------------+-------+----------+------+-------------------------+-----------------+-------+-------------------------+----+--------+-----------+
|   1|PRIMARY           |cu     |{null}    |ALL   |idx_fk_address_id        |{null}           |{null} |{null}                   | 599|   100.0|{null}     |
|   1|PRIMARY           |address|{null}    |eq_ref|PRIMARY,idx_fk_city_id   |PRIMARY          |4      |sakila.cu.address_id     |   1|   100.0|{null}     |
|   1|PRIMARY           |ci     |{null}    |eq_ref|PRIMARY                  |PRIMARY          |4      |sakila.address.city_id   |   1|   100.0|{null}     |
|   2|DEPENDENT SUBQUERY|ci2    |{null}    |ref   |PRIMARY,idx_fk_country_id|idx_fk_country_id|4      |sakila.ci.country_id     |   5|   100.0|Using index|
|   2|DEPENDENT SUBQUERY|address|{null}    |ref   |PRIMARY,idx_fk_city_id   |idx_fk_city_id   |4      |sakila.ci2.city_id       |   1|   100.0|Using index|
|   2|DEPENDENT SUBQUERY|cu2    |{null}    |ref   |idx_fk_address_id        |idx_fk_address_id|4      |sakila.address.address_id|   1|   100.0|Using index|
+----+------------------+-------+----------+------+-------------------------+-----------------+-------+-------------------------+----+--------+-----------+

The cost the database associated with the execution of the query:  NaN
The estimated number of rows (cardinality) that is to be returned by the query: 599.0
The actual number of rows (cardinality) returned by the query:  599

Result Records:
  +----------+---------+---------------------------+
|first_name|last_name|customers_from_same_country|
|JENNY     |CASTRO   |                          2|
|FELICIA   |SUTTON   |                         53|
|SONIA     |GREGORY  |                         13|
|MIRIAM    |MCKINNEY |                         31|
|VELMA     |LUCAS    |                         13|
|BECKY     |MILES    |                         60|
|BOBBIE    |CRAIG    |                         30|
|VIOLET    |RODRIQUEZ|                          1|
|KRISTINA  |CHAMBERS |                          7|
|TONI      |HOLT     |                         36|
|MISTY     |LAMBERT  |                          3|
|MAE       |FLETCHER |                          5|
|SHELLY    |WATTS    |                         36|
|DAISY     |BATES    |                         28|
|RAMONA    |HALE     |                         60|
|SHERRI    |RHODES   |                         60|
|ERIKA     |PENA     |                          1|
|JAMES     |GANNON   |                         31|
|JOHN      |FARNSW...|                         60|
|ROBERT    |BAUGHMAN |                         28|
|MICHAEL   |SILVERMAN|                         53|
|WILLIAM   |SATTER...|                          4|
|DAVID     |ROYAL    |                          4|
|RICHARD   |MCCRARY  |                         36|
|CHARLES   |KOWALSKI |                          3|
|JOSEPH    |JOY      |                         28|
|THOMAS    |GRIGSBY  |                         36|
|CHRISTO...|GRECO    |                          7|
|DANIEL    |CABRAL   |                         28|
|PAUL      |TROUT    |                         28|
|MARK      |RINEHART |                          5|
|DONALD    |MAHON    |                         53|
|GEORGE    |LINTON   |                         28|
|KENNETH   |GOODEN   |                          4|
|STEVEN    |CURLEY   |                         60|
|EDWARD    |BAUGH    |                          1|
|BRIAN     |WYMAN    |                          8|
|RONALD    |WEINER   |                         30|
|ANTHONY   |SCHWAB   |                          1|
|KEVIN     |SCHULER  |                          1|
|JASON     |MORRISSEY|                         13|
|MATTHEW   |MAHAN    |                         30|
|GARY      |COY      |                         53|
|TIMOTHY   |BUNN     |                         28|
|JOSE      |ANDREW   |                          1|
|LARRY     |THRASHER |                         15|
|JEFFREY   |SPEAR    |                         14|
|FRANK     |WAGGONER |                          3|
|SCOTT     |SHELLEY  |                         36|
|ERIC      |ROBERT   |                         13|
|STEPHEN   |QUALLS   |                          3|
|ANDREW    |PURDY    |                          2|
|RAYMOND   |MCWHORTER|                          2|
|GREGORY   |MAULDIN  |                          1|
|JOSHUA    |MARK     |                         60|
|JERRY     |JORDON   |                         31|
|DENNIS    |GILMAN   |                         11|
|WALTER    |PERRYMAN |                         53|
|PATRICK   |NEWSOM   |                          6|
|PETER     |MENARD   |                          5|
|HAROLD    |MARTINO  |                         28|
|DOUGLAS   |GRAF     |                         30|
|HENRY     |BILLIN...|                          1|
|CARL      |ARTIS    |                          3|
|ARTHUR    |SIMPKINS |                         28|
|RYAN      |SALISBURY|                          2|
|ROGER     |QUINTA...|                         10|
|JOE       |GILLILAND|                         20|
|JUAN      |FRALEY   |                         28|
|JACK      |FOUST    |                         28|
|ALBERT    |CROUSE   |                          2|
|JONATHAN  |SCARBO...|                         30|
|JUSTIN    |NGO      |                         28|
|TERRY     |GRISSOM  |                         31|
|GERALD    |FULTZ    |                         60|
|KEITH     |RICO     |                          1|
|SAMUEL    |MARLOW   |                         60|
|WILLIE    |MARKHAM  |                         13|
|RALPH     |MADRIGAL |                          2|
|LAWRENCE  |LAWTON   |                          2|
|NICHOLAS  |BARFIELD |                         28|
|ROY       |WHITING  |                          2|
|BENJAMIN  |VARNEY   |                         30|
|BRUCE     |SCHWARZ  |                         31|
|BRANDON   |HUEY     |                         15|
|ADAM      |GOOCH    |                         60|
|HARRY     |ARCE     |                          8|
|FRED      |WHEAT    |                         30|
|WAYNE     |TRUONG   |                         60|
|BILLY     |POULIN   |                         20|
|STEVE     |MACKENZIE|                         14|
|LOUIS     |LEONE    |                         20|
|JEREMY    |HURTADO  |                         28|
|AARON     |SELBY    |                          2|
|RANDY     |GAITHER  |                         28|
|HOWARD    |FORTNER  |                          8|
|EUGENE    |CULPEPPER|                         53|
|CARLOS    |COUGHLIN |                         60|
|RUSSELL   |BRINSON  |                          8|
|BOBBY     |BOUDREAU |                          1|
|VICTOR    |BARKLEY  |                         36|
|MARTIN    |BALES    |                          2|
|ERNEST    |STEPP    |                         53|
|PHILLIP   |HOLM     |                         31|
|TODD      |TAN      |                          6|
|JESSE     |SCHILLING|                          2|
|CRAIG     |MORRELL  |                         20|
|ALAN      |KAHN     |                         53|
|SHAWN     |HEATON   |                          3|
|CLARENCE  |GAMEZ    |                         31|
|SEAN      |DOUGLASS |                          1|
|PHILIP    |CAUSEY   |                         28|
|CHRIS     |BROTHERS |                          5|
|JOHNNY    |TURPIN   |                          2|
|EARL      |SHANKS   |                         31|
|JIMMY     |SCHRADER |                         28|
|ANTONIO   |MEEK     |                         28|
|DANNY     |ISOM     |                          5|
|BRYAN     |HARDISON |                         36|
|TONY      |CARRANZA |                         31|
|LUIS      |YANEZ    |                          4|
|MIKE      |WAY      |                         60|
|STANLEY   |SCROGGINS|                         31|
|LEONARD   |SCHOFIELD|                         13|
|NATHAN    |RUNYON   |                          1|
|DALE      |RATCLIFF |                         11|
|MANUEL    |MURRELL  |                          1|
|RODNEY    |MOELLER  |                         13|
|CURTIS    |IRBY     |                          5|
|NORMAN    |CURRIER  |                         14|
|ALLEN     |BUTTER...|                         60|
|MARVIN    |YEE      |                         60|
|VINCENT   |RALSTON  |                         30|
|GLENN     |PULLEN   |                          5|
|JEFFERY   |PINSON   |                          5|
|TRAVIS    |ESTEP    |                          5|
|JEFF      |EAST     |                          3|
|CHAD      |CARBONE  |                         60|
|JACOB     |LANCE    |                         36|
|LEE       |HAWKS    |                         60|
|MELVIN    |ELLINGTON|                         53|
|ALFRED    |CASILLAS |                          6|
|KYLE      |SPURLOCK |                         53|
|FRANCIS   |SIKES    |                         30|
|BRADLEY   |MOTLEY   |                         60|
|JESUS     |MCCARTNEY|                         28|
|HERBERT   |KRUGER   |                         28|
|FREDERICK |ISBELL   |                         31|
|RAY       |HOULE    |                         28|
|JOEL      |FRANCISCO|                          2|
|EDWIN     |BURK     |                         11|
|DON       |BONE     |                          3|
|EDDIE     |TOMLIN   |                         20|
|RICKY     |SHELBY   |                         53|
|TROY      |QUIGLEY  |                          5|
|RANDALL   |NEUMANN  |                          3|
|BARRY     |LOVELACE |                          1|
|ALEXANDER |FENNELL  |                          7|
|BERNARD   |COLBY    |                         60|
|MARIO     |CHEATHAM |                          3|
|LEROY     |BUSTAM...|                         53|
|FRANCISCO |SKIDMORE |                         28|
|MARCUS    |HIDALGO  |                          1|
|MICHEAL   |FORMAN   |                         13|
|THEODORE  |CULP     |                         60|
|CLIFFORD  |BOWENS   |                         28|
|MIGUEL    |BETANC...|                          7|
|OSCAR     |AQUINO   |                          8|
|JAY       |ROBB     |                         14|
|JIM       |REA      |                         30|
|TOM       |MILNER   |                          3|
|CALVIN    |MARTEL   |                          7|
|ALEX      |GRESHAM  |                         30|
|JON       |WILES    |                          2|
|RONNIE    |RICKETTS |                          1|
|BILL      |GAVIN    |                         36|
|LLOYD     |DOWD     |                         14|
|TOMMY     |COLLAZO  |                          8|
|LEON      |BOSTIC   |                          6|
|DEREK     |BLAKELY  |                         20|
|WARREN    |SHERROD  |                         28|
|DARRELL   |POWER    |                          5|
|JEROME    |KENYON   |                          3|
|FLOYD     |GANDY    |                         30|
|LEO       |EBERT    |                         53|
|ALVIN     |DELOACH  |                         30|
|TIM       |CARY     |                         60|
|WESLEY    |BULL     |                          5|
|GORDON    |ALLARD   |                          4|
|DEAN      |SAUER    |                         11|
|GREG      |ROBINS   |                          6|
|JORGE     |OLIVARES |                         14|
|DUSTIN    |GILLETTE |                          5|
|PEDRO     |CHESTNUT |                          6|
|DERRICK   |BOURQUE  |                          5|
|DAN       |PAINE    |                          9|
|LEWIS     |LYMAN    |                          4|
|ZACHARY   |HITE     |                         36|
|COREY     |HAUSER   |                         15|
|HERMAN    |DEVORE   |                          3|
|MAURICE   |CRAWLEY  |                         30|
|VERNON    |CHAPA    |                         15|
|ROBERTO   |VU       |                         53|
|CLYDE     |TOBIAS   |                         53|
|GLEN      |TALBERT  |                         30|
|HECTOR    |POINDE...|                         28|
|SHANE     |MILLARD  |                         30|
|RICARDO   |MEADOR   |                         31|
|SAM       |MCDUFFIE |                          6|
|RICK      |MATTOX   |                          6|
|LESTER    |KRAUS    |                         60|
|BRENT     |HARKINS  |                         15|
|RAMON     |CHOATE   |                          3|
|CHARLIE   |BESS     |                         53|
|TYLER     |WREN     |                         53|
|GILBERT   |SLEDGE   |                          9|
|GENE      |SANBORN  |                          2|
|MARC      |OUTLAW   |                          7|
|REGINALD  |KINDER   |                         14|
|RUBEN     |GEARY    |                          8|
|BRETT     |CORNWELL |                         60|
|ANGEL     |BARCLAY  |                         31|
|NATHANIEL |ADAM     |                         36|
|RAFAEL    |ABNEY    |                         20|
|LESLIE    |SEWARD   |                         14|
|EDGAR     |RHOADS   |                         15|
|MILTON    |HOWLAND  |                         60|
|RAUL      |FORTIER  |                         60|
|BEN       |EASTER   |                         28|
|CHESTER   |BENNER   |                         53|
|CECIL     |VINES    |                          9|
|DUANE     |TUBBS    |                          1|
|FRANKLIN  |TROUTMAN |                         53|
|ANDRE     |RAPP     |                          3|
|ELMER     |NOE      |                          2|
|BRAD      |MCCURDY  |                         10|
|GABRIEL   |HARDER   |                         15|
|RON       |DELUCA   |                         31|
|MITCHELL  |WESTMO...|                          6|
|ROLAND    |SOUTH    |                         53|
|ARNOLD    |HAVENS   |                         20|
|HARVEY    |GUAJARDO |                          6|
|JARED     |ELY      |                         14|
|ADRIAN    |CLARY    |                          7|
|KARL      |SEAL     |                         36|
|CORY      |MEEHAN   |                          2|
|CLAUDE    |HERZOG   |                          2|
|ERIK      |GUILLEN  |                         60|
|DARRYL    |ASHCRAFT |                         13|
|JAMIE     |WAUGH    |                         31|
|NEIL      |RENNER   |                          6|
|JESSIE    |MILAM    |                         53|
|CHRISTIAN |JUNG     |                         60|
|JAVIER    |ELROD    |                          1|
|FERNANDO  |CHURCHILL|                          5|
|CLINTON   |BUFORD   |                         36|
|TED       |BREAUX   |                         53|
|MATHEW    |BOLIN    |                          7|
|TYRONE    |ASHER    |                          2|
|DARREN    |WINDHAM  |                          7|
|LONNIE    |TIRADO   |                         14|
|LANCE     |PEMBERTON|                          3|
|CODY      |NOLEN    |                         28|
|JULIO     |NOLAND   |                          6|
|KELLY     |KNOTT    |                         53|
|KURT      |EMMONS   |                         31|
|ALLAN     |CORNISH  |                         20|
|NELSON    |CHRIST...|                          5|
|GUY       |BROWNLEE |                         53|
|CLAYTON   |BARBEE   |                         28|
|HUGH      |WALDROP  |                         53|
|MAX       |PITT     |                          2|
|DWAYNE    |OLVERA   |                         60|
|DWIGHT    |LOMBARDI |                         11|
|ARMANDO   |GRUBER   |                          9|
|FELIX     |GAFFNEY  |                          1|
|JIMMIE    |EGGLESTON|                          8|
|EVERETT   |BANDA    |                          6|
|JORDAN    |ARCHULETA|                         13|
|IAN       |STILL    |                         36|
|WALLACE   |SLONE    |                         13|
|KEN       |PREWITT  |                          2|
|BOB       |PFEIFFER |                         53|
|JAIME     |NETTLES  |                          4|
|CASEY     |MENA     |                         15|
|ALFREDO   |MCADAMS  |                         28|
|ALBERTO   |HENNING  |                          7|
|DAVE      |GARDINER |                         53|
|IVAN      |CROMWELL |                         30|
|JOHNNIE   |CHISHOLM |                          8|
|SIDNEY    |BURLESON |                          8|
|BYRON     |BOX      |                          2|
|JULIAN    |VEST     |                         31|
|ISAAC     |OGLESBY  |                         30|
|MORRIS    |MCCARTER |                         10|
|CLIFTON   |MALCOLM  |                         10|
|WILLARD   |LUMPKIN  |                         30|
|DARYL     |LARUE    |                          1|
|ROSS      |GREY     |                         20|
|VIRGIL    |WOFFORD  |                         30|
|ANDY      |VANHORN  |                         30|
|MARSHALL  |THORN    |                          9|
|SALVADOR  |TEEL     |                          1|
|PERRY     |SWAFFORD |                         13|
|KIRK      |STCLAIR  |                         10|
|SERGIO    |STANFIELD|                         30|
|MARION    |OCAMPO   |                         53|
|TRACY     |HERRMANN |                          3|
|SETH      |HANNON   |                          1|
|KENT      |ARSENAULT|                         28|
|TERRANCE  |ROUSH    |                          1|
|RENE      |MCALISTER|                         36|
|EDUARDO   |HIATT    |                         53|
|TERRENCE  |GUNDERSON|                         53|
|ENRIQUE   |FORSYTHE |                          2|
|FREDDIE   |DUGGAN   |                          4|
|WADE      |DELVALLE |                          3|
|AUSTIN    |CINTRON  |                         53|
+----------+---------+---------------------------+

data source(s):
Table: customer
Records: 599
Primary Key: constraint "PRIMARY"
  primary key ("customer_id")
References: [constraint "fk_customer_address"
  foreign key ("address_id")
  references "sakila"."address" ("address_id"), constraint "fk_customer_store"
  foreign key ("store_id")
  references "sakila"."store" ("store_id")]
Indexes: ["sakila"."idx_fk_address_id", "sakila"."idx_fk_store_id", "sakila"."idx_last_name"]
Identity: "sakila"."customer"."customer_id"
 Records in customer
+-----------+--------+----------+---------+-----------------------------------+----------+------+---------------------+---------------------+
|customer_id|store_id|first_name|last_name|email                              |address_id|active|create_date          |last_update          |
